EngGamename,Serial,crc
Pocket Bowling (USA),DMG-AVBE-USA,3ED30908
Pocket Color Billiards (Japan),CGB-A3AJ-JPN,911007E1
Pocket Color Block (Japan) (SGB Enhanced),DMG-AC6J-JPN,389CF56F
Pocket Color Mahjong (Japan),DMG-A2AJ-JPN,08DC0AF4
Pocket Color Trump (Japan),DMG-A4CJ-JPN,C73EB10E
Pocket Cooking (Japan),CGB-APJJ,F5AB554D
Pocket Densha 2 (Japan) (SGB Enhanced),DMG-AP8J-JPN,4D26E880
Pocket Family GB2 (Japan),CGB-HA2J-JPN,2A273244
Pocket GI Stable (Japan) (SGB Enhanced),DMG-APUJ-JPN,C424874E
Pocket GT (Japan),CGB-A7GJ-JPN,2AC77C5A
Pocket Hanafuda (Japan),CGB-A6PJ-JPN,AF0C51B8
Pocket King (Japan) (SGB Enhanced),DMG-AV5J-JPN,DEE71D44
Pocket Lure Boy (Japan),CGB-AQIJ-JPN,35A29628
Pocket Monsters - Crystal Version (Japan),CGB-BXTJ-JPN,270C4ECC
Pocket Monsters Eun (Korea),CGB-AAXK-KOR,9CC1F90F
Pocket Monsters Geum (Korea),CGB-AAUK-KOR,249A7A66
Pocket Monsters Gin (Japan) (Rev A) (SGB Enhanced),DMG-AAXJ-JPN,0AEA5383
Pocket Monsters Gin (Japan) (SGB Enhanced),DMG-AAXJ-JPN,BE1B928A
Pocket Monsters Kin (Japan) (Rev A) (SGB Enhanced),DMG-AAUJ-JPN,4EF7F2A5
Pocket Monsters Kin (Japan) (SGB Enhanced),DMG-AAUJ-JPN,524478D4
Pocket Music (Europe) (En|Fr|De|Es|It),CGB-BP9P-EUR,1BFB531E
Pocket Pro Wrestling - Perfect Wrestler (Japan),CGB-AJVJ-JPN,D4EBBA41
Pocket Pro Yakyuu (Japan),CGB-BPPJ-JPN,2A6EF6A8
Pocket Puyo Puyo Sun (Japan) (SGB Enhanced),DMG-AYSJ-JPN,45661EC3
Pocket Puyo Puyo-n (Japan),CGB-BPYJ-JPN,870DB337
Pocket Racing (Europe),CGB-BPKP-EUR,FBF97372
Pokemon - Edicion Oro (Spain) (SGB Enhanced),DMG-AAUP-EUR,3434A92B
Pokemon - Edicion Plata (Spain) (SGB Enhanced),DMG-AAXP-EUR,1D9FAAC5
Pokemon - Goldene Edition (Germany) (SGB Enhanced),DMG-AAUP-EUR,4889DFAA
Pokemon - Silberne Edition (Germany) (SGB Enhanced),DMG-AAXP-EUR,96C9DB95
Pokemon - Version Argent (France) (SGB Enhanced),DMG-AAXP-EUR,E0C216EA
Pokemon - Version Or (France) (SGB Enhanced),DMG-AAUP-EUR,37A70702
Pokemon - Versione Argento (Italy) (SGB Enhanced),DMG-AAXP-EUR,CBA6D2D4
Pokemon - Versione Oro (Italy) (SGB Enhanced),DMG-AAUP-EUR,4C184CE3
Pokemon Card GB (Japan) (SGB Enhanced),DMG-ACXJ-JPN,1926F570
Pokemon Card GB2 - GR Dan Sanjou! (Japan),CGB-BP7J-JPN,6C933A14
Pokemon Pinball (Europe) (En|Fr|De|Es|It) (Rumble Version) (SGB Enhanced),DMG-VPHP-EUR,39C432A4
Pokemon Pinball (Japan) (Rumble Version) (SGB Enhanced),DMG-VPHJ-JPN,13C70DE9
Pokemon Pinball (USA) (Rumble Version) (SGB Enhanced),DMG-VPHE-USA,03CE8D9A
Pokemon Puzzle Challenge (Europe) (En|Fr|De|Es|It),CGB-BPNP-EUR,8206B1CE
Pokemon Puzzle Challenge (USA),CGB-BPNE-USA,D06BBA96
Pokemon Trading Card Game (Europe) (En|Es|It) (SGB Enhanced),DMG-AXQP-EUR,966DAEF1
Pokemon Trading Card Game (Europe) (En|Fr|De) (SGB Enhanced),DMG-AXQP-EUR,4523376E
Pokemon Trading Card Game (USA) (SGB Enhanced),DMG-AXQE-USA,81069D53
Pokemon de Panepon (Japan),CGB-BPNJ-JPN,6BF7E4A6
Polaris SnoCross (USA) (Rumble Version),CGB-VPSE-USA,DD8B189E
Pooh and Tigger's Hunny Safari (Europe) (En|Fr|De|Es|It|Nl),CGB-BP8P-EUR,8505D139
Pop'n Music GB (Japan),CGB-BPMJ-JPN,07E6CA95
Pop'n Music GB - Animation Melody (Japan),CGB-BPAJ-JPN,9B2429A7
Pop'n Music GB - Disney Tunes (Japan),CGB-BPDJ-JPN,48C3C6EF
Pop'n Pop (Japan),CGB-BJPJ-JPN,1CFFB764
Portal Runner (USA),CGB-BAVE-USA,913AC306
Power Pro Kun Pocket (Japan) (Rev A) (SGB Enhanced),DMG-AVVJ-JPN,894D88F2
Power Pro Kun Pocket (Japan) (SGB Enhanced),DMG-AVVJ-JPN,145540D8
Power Pro Kun Pocket 2 (Japan) (SGB Enhanced),DMG-BPWJ-JPN,C2A4A3EB
Power Quest (Europe) (En|Fr|De|Es|It) (SGB Enhanced),DMG-APQP-EUR,30E1E567
Power Quest (USA) (En|Fr|De|Es|It) (SGB Enhanced),DMG-APQE-USA,DAD6F6B4
Power Spike - Pro Beach Volleyball (USA),CGB-BVBE-USA,AE57D1C3
Powerpuff Girls| The - Bad Mojo Jojo (Europe),CGB-BJJP-EUR,75D1063A
Powerpuff Girls| The - Bad Mojo Jojo (USA),CGB-BJJE-USA,834CAF7A
Powerpuff Girls| The - Bad Mojo Jojo (USA) (Rev A),CGB-BJJE-USA,548A287A
Powerpuff Girls| The - Bad Mojo Jojo (USA) (Rev B),CGB-BJJE-USA,A111704F
Powerpuff Girls| The - Battle Him (Europe),CGB-BBHP-EUR,788859AE
Powerpuff Girls| The - Battle Him (USA),CGB-BBHE-USA,D8455984
Powerpuff Girls| The - Battle Him (USA) (Rev A),CGB-BBHE-USA,E3D6964C
Powerpuff Girls| The - Bulle Contre Lui (France),CGB-BBHP-EUR,7085270C
Powerpuff Girls| The - L'Affreux Mojo Jojo (France),CGB-BJJP-EUR,256D166F
Powerpuff Girls| The - Paint the Townsville Green (Europe),CGB-BPTP-EUR,98E4B0C4
Powerpuff Girls| The - Paint the Townsville Green (USA),CGB-BPTE-USA,9D47261A
Powerpuff Girls| The - Paint the Townsville Green (USA) (Rev A),CGB-BPTE-USA,295B3646
