Internalname,Serial,EngGamename,ChiGamename
BACKYARDFBL,AGB-AYFE-USA,Backyard Football (U),儿童后院足球 Backyard Football(US)(Infogrames)
GROOVY GAMES,AGB-AVBE-USA,Barbie Groovy Games (U),芭比娃娃-益智小游戏合集 Barbie Groovy Games(US)(Vivendi)
GT ADVANCE 2,AGB-AGWP-EUR,GT Advance 2 - Rally Racing (E),GTA职业概念赛车2 GT Advance 2 – Rally Racing(EU)(THQ)
DEPATIKA    ,AGB-ADYJ-JPN,Hanafuda Trump Mahjong Depachika Wayouchuu (J),中日洋3国桌上游戏大合集 Hanafuda Trump Mahjong – Depachika Wayouchuu(JP)(Global A)
EGGOMANIA,AGB-AEME-USA,Egg Mania (U),战斗蛋方块 Egg Mania(US)(M3)(Kemco)
SUPER GHOULS,AGB-AG5E-USA,Super Ghouls N Ghosts (U),超魔界村R Super Ghouls'n Ghosts(UE)(Capcom)
KELLY SLATER,AGB-AS3E-USA,Kelly Slater's Pro Surfer (U),凯利·史雷特职业冲浪 Kelly Slater's Pro Surfer(UE)(Activision)
SMUGGLERSRUN,AGB-ASGE-USA,Smuggler's Run (U),逃跑走私犯车 Smuggler's Run(US)(Destination Software)
DUKENUKEMUS,AGB-AD9P-EUR,Duke Nukem Advance (E),毁灭公爵A Duke Nukem Advance(EU)(M4)(Take 2)
MCRAE RALLY2,AGB-ACMP-EUR,Colin McRae Rally 2.0 (E),Colin McRae拉力赛车2 Colin McRae Rally 2.0(EU)(M3)(Ubi Soft)
STREET FIGHT,AGB-AZUJ-JPN,Street Fighter Zero 3 Upper (J),少年街霸3 Street Fighter Zero 3 Upper(JP)(Capcom)
OUKOKUGAISUT,AGB-AECJ-JPN,Samurai Evolution - Oukoku Geist (J),樱国之魂 Samurai Evolution – Oukoku Geist(JP)(Enix)
SEGA SMASH P,AGB-A3PE-USA,Sega Smash Pack (U),世嘉街机游戏合集 Sega Smash Pack(US)(THQ)
DRIVER2ADV  ,AGB-ADUP-EUR,Driver 2 Advance (E),生死时速车2A Driver 2 Advance(EU)(M5)(Infogrames)
CASTLEVANIA1,AGB-ACHE-USA,Castlevania - Harmony of Dissonance (U),恶魔城-白夜协奏曲 Castlevania – Harmony of Dissonance(US)(Konami)
UNIVERSLOTR,AGB-ALOE-USA,The Lord of the Rings - The Fellowship of the Ring (U),"指环王-魔戒现身 Lord of the Rings, The – The Fellowship of the Ring(US)(Vivendi)"
TENNISMASTER,AGB-AT8P-EUR,Tennis Masters Series 2003 (E),网球征服系列2003 Tennis Masters Series 2003(EU)(M6)(Microids)
SPYRO 2,AGB-A2SE-USA,Spyro 2 - Season of Flame (U),小龙斯派罗2-火焰的季节 Spyro 2 – Season of Flame(US)(Vivendi)
JIMMY2002AGB,AGB-AJXE-USA,Jimmy Neutron vs. Jimmy Negatron (U),"天才男孩吉米中子VS吉米负电子 Adventures of Jimmy Neutron vs. Jimmy Negatron, The(US)(THQ)"
MIC&MIN MA,AGB-A3MP-EUR,Disney's Magical Quest Starring Mickey and Minnie (E),迪斯尼的米奇老鼠 Magical Quest Starring Mickey & Minnie(EU)(M5)(Nintendo)
HANAYANINARO,AGB-AF7J-JPN,Ohanaya-san ni narou! (J),心跳系列-经营花店 Tokimeki Yume Series 1 – Ohanaya-san ni Narou!(JP)(MTO)
CARDE READER,AGB-PSAE-USA,Card e-Reader (U),E-Book浏览器r e-Reader(US)(Nintendo)
RAVE2,AGB-ARIJ-JPN,Groove Adventure Rave - Hikari to Yami no Daikessen 2 (J),光与暗大决战2 Groove Adventure Rave – Hikari to Yami no Daikessen 2(JP)(Konami)
EVILMIRROR,AGB-AHJP-EUR,Hugo - The Evil Mirror (E),雨果-邪恶的镜子 Hugo – The Evil Mirror Advance(EU)(M12)(ITE Media)
WORMSWORLDPT,AGB-AWYP-EUR,Worms World Party (E),百战天虫 Worms World Party(EU)(M5)(Ubi Soft)
CHOBITS-MMV1,AGB-AOCJ-JPN,Chobits (J),人形电脑天使心 Chobits – Atashi Dake no Hito(JP)(MMV)
SUPER MARIOC,AGB-A3AP-EUR,Yoshi's Island - Super Mario Advance 3 (E),超级马里奥3-耀奇岛 Super Mario Advance 3 – Yoshi's Island(EU)(M5)(Nintendo)
TEDDY,AGB-ATDJ-JPN,Daisuki Teddy (J),我爱泰迪熊 Daisuki Teddy(JP)(MTO)
SCOOBYMOVIEE,AGB-AP8F-FRA,Scooby-Doo - The Motion Picture (F),史诺比鬼屋历险-真人照片版 Scooby-Doo(FR)(THQ)
FROGQST,AGB-AFQP-EUR,Frogger Advance - The Great Quest (E),青蛙伟大的探索 Frogger Advance – The Great Quest(EU)(M5)(Konami)
DINODEVICE B,AGB-ABIJ-JPN,Gachasute! Dyna Device Blue (J),怪兽蛋蓝版 Gachasute! Dino Device – Blue(JP)(Smilesoft)
HARUKANARU,AGB-ARNJ-JPN,Harukanaru Jikuu no Naka de (J),遥远的时空之中 Harukanaru Toki no Naka de(JP)(Koei)
BKM BATTLES,AGB-ABWE-USA,Butt Ugly Martians BKM Battles (U),神勇火星人-反冲大作战 Butt-Ugly Martians – B.K.M. Battles(US)(Vivendi)
HAMSTER,AGB-AH7J-JPN,Nakayoshi Pet Advance Series 1 Kawaii Hamster (J),动物伴侣系列一-可爱老鼠 Nakayoshi Pet Advance Series 1 – Kawaii Hamster(JP)(MTO)
KAWAII DOG,AGB-AI7J-JPN,Nakayoshi Pet Advance Series 2 Kawaii Koinu (J),动物伴侣系列二-可爱小狗 Nakayoshi Pet Advance Series 2 – Kawaii Koinu(JP)(MTO)
KAWAIIKONEKO,AGB-AN3J-JPN,Nakayoshi Pet Advance Series 3 Kawaii Koneko (J),动物伴侣系列三-可爱小猫 Nakayoshi Pet Advance Series 3 – Kawaii Koneko(JP)(MTO)
MEDAROTGKBT,AGB-AGHJ-JPN,Medarot G - Kabuto Version (J),金属机器人G-甲冑版 Medarot G – Kabuto Version(JP)(Natsume)
PRINCESSBLUE,AGB-A3HJ-JPN,Hime Kishi Monogatari - Princess Blue (J),姬骑士物语-蓝色的公主 Hime Kishi Monogatari – Princess Blue(JP)(Tonkin House)
GGXAE,AGB-AGXP-EUR,Guilty Gear X - Advance Edition (E),罪恶克星X Guilty Gear X – Advance Edition(EU)(Sammy)
SOCCER KID  ,AGB-AK6E-USA,Soccer Kid (U),足球小子 Soccer Kid(UE)(Telegames)
BALLISTIC EC,AGB-AEEE-USA,Ballistic - Ecks vs. Sever (U),艾克斯VS瑟娃-弹道专家 Ballistic – Ecks vs. Sever(US)(BAM!)
DRAGONBALL Z,AGB-ALGP-EUR,Dragon Ball Z - The Legacy of Goku (E),七龙珠Z-悟空遗产传说 Dragon Ball Z – The Legacy of Goku(EU)(M5)(Infogrames)
ECKS VSE SEV,AGB-AESP-EUR,Ecks vs. Sever (E),艾克斯VS瑟娃 Ecks vs. Sever(EU)(M5)(BAM!)
FP2 NA,AGB-AFYE-USA,Fire Pro Wrestling 2 (U),火爆摔跤2 Fire Pro Wrestling 2(US)(BAM!)
INVADER,AGB-AIVP-EUR,Invader (E),侵略者 Invader(EU)(Takara)
MOTORACERADV,AGB-A9MP-EUR,Motoracer Advance (E),越野摩托车A Motoracer Advance(EU)(M5)(Ubi Soft)
A.M.TURFWARS,AGB-AY3E-USA,Army Men - Turf Wars (U),玩具军人之草场的战争 Army Men – Turf Wars(US)(3DO)
METALGUN,AGB-AAPJ-JPN,Metalgun Slinger (J),合金射击者 Metalgun Slinger(JP)(Atmark)
AIRFORCEDELT,AGB-AAKJ-JPN,AirForce Delta II (J),三角洲空军部队II Airforce Delta II(JP)(M4)(Konami)
TURBO TURTLE,AGB-AK3E-USA,Turbo Turtle Adventure (U),海龟的冒险 Turbo Turtle Adventure(US)(Majesco Sales)
KINGOFEXNEOB,AGB-AKOP-EUR,The King Of Fighters EX - Neo Blood (E),"拳皇EX-新血 King of Fighters EX, The – NeoBlood(EU)(Sammy)"
HAROBOTSADVN,AGB-AHQJ-JPN,Harobots - Robo Hero Battling (J),哈罗机器人-机器人英雄大会战!! Harobots – Robo Hero Battling!!(JP)(Sunrise)
MONSTERFORCE,AGB-AM8P-EUR,Monster Force (E),怪物力量 Monster Force(EU)(M5)(Vivendi)
GROOVY GAMES,AGB-AVBP-EUR,Barbie Groovy Games (E),芭比益智小游戏合集 Barbie Groovy Games(EU)(M5)(Vivendi)
THE REVENGE,AGB-A7SP-EUR,The Revenge of the Smurfs (E),"蓝精灵Smurfs的复仇 Smurfs, The – The Revenge of the Smurfs(EU)(M6)(Infogrames)"
DOTC,AGB-ADHE-USA,Defender of the Crown (U),王冠的守护者 Defender of the Crown(US)(Metro3D)
DUAL BLADES,AGB-AB9E-USA,Dual Blades (U),双刃 Dual Blades(US)(Metro3D)
ICEAGE,AGB-AIAJ-JPN,Ice Age (J),冰河世纪 Ice Age(JP)(Ubi Soft)
JWEA2002,AGB-A2JJ-JPN,J-League Winning Eleven Advance 2002 (J),J-联盟足球胜利11人2002 J.League Winning Eleven Advance 2002(JP)(Konami)
PINBALL ADV,AGB-APZP-EUR,Pinball Advance (E),弹珠台A Pinball Advance(EU)(M5)(Zoo Digital)
VIRTUATENNIS,AGB-AVTE-USA,Virtua Tennis (U),虚拟网球 Virtua Tennis(US)(THQ)
G&W GALLERYA,AGB-AQWP-EUR,Game & Watch Gallery Advance (E),任天堂博物馆4 Game & Watch Gallery Advance(EU)(Nintendo)
OSYARE PRI,AGB-AOPJ-JPN,Oshare Princess (J),奥沙尔公主1 Oshare Princess(JP)(Culture Brain)
SHREK HATC,AGB-AH4E-USA,Shrek Hassle at the Castle (U),怪物史瑞克在城堡的激战 Shrek – Hassle at the Castle(US)(M6)(TDK)
GALAXY ANGEL,AGB-AGZJ-JPN,Galaxy Angel (J),银河天使 Galaxy Angel – Moridakusan Tenshi no Full-Course – Okawari Jiyuu(JP)(MMV)
HH MLB 2003,AGB-AHXJ-JPN,High Heat Major League Baseball 2003 (J),火爆美国职业棒球联赛2003 High Heat Major League Baseball 2003(JP)(Takara)
ZOO CUBE,AGB-ANCJ-JPN,ZooCube (J),立体旋转方块 ZooCube(JP)(Acclaim)
HAMUPARAAGB,AGB-AHAJ-JPN,Hamster Paradise Advance (J),仓鼠天堂A Hamster Paradise Advanchu(JP)(Atlus)
DENKIBLOCKS!,AGB-ADBJ-JPN,Denki Blocks (J),电击方块! Denki Blocks!(JP)(Global A)
PUKUPUKU-1,AGB-APUJ-JPN,PukuPuku Tennen Kairanban (J),狗狗小镇 PukuPuku Tennen Kairanban(JP)(Victor)
GACHINKOPRO,AGB-ANYJ-JPN,Gachinko Pro Yakyuu (J),Q版职业棒球 Gachinko Pro Yakyuu(JP)(Now Production)
BBC,AGB-AB6P-EUR,Black Belt Challenge (E),黑腰带挑战赛 Black Belt Challenge(EU)(Takara)
YU-GI-OH!EDS,AGB-AY5E-USA,Yu-Gi-Oh! - The Eternal Duelist Soul (U),游戏王-永恒斗士之魂 Yu-Gi-Oh! The Eternal Duelist Soul(US)(Konami)
ROBO MACROSS,AGB-ARBE-USA,Robotech - The Macross Saga (U),太空堡垒 Robotech – The Macross Saga(UE)(M6)(TDK)
XXX,AGB-AX3F-FRA,xXx (F),X传奇限制级战警 xXx(FR)(Activision)
WWTBAM,AGB-A55P-EUR,Who Wants to Be a Millionaire (E),谁想成为百万富翁 Who Wants to Be a Millionaire(EU)(Zoo Digital)
GYAKUTEN_SA2,AGB-A3GJ-JPN,Gyakuten Saiban 2 (J),逆转裁判2 Gyakuten Saiban 2(JP)(Capcom)
O_INKOCLUB,AGB-AICJ-JPN,Oshaberi Inco Club (J),鹦鹉俱乐部 Oshaberi Inko Club(JP)(Alpha Unit)
CRAZY CHASE,AGB-ACCP-EUR,Crazy Chase (E),疯狂的追击 Crazy Chase(EU)(M3)(Kemco)
SPIRIT: L'ET,AGB-AC6F-FRA,Spirit - L'etalon des Plaines (F),小马王 Spirit – L'Etalon des Plaines – A la Recherche de la Terre Natale(FR)(THQ)
HOBOSAN,AGB-AHVJ-JPN,Nakayoshi Youchien (J),小朋友幼稚园 Nakayoshi Youchien – Sukoyaka Enji Ikusei Game(JP)(TDK)
ROBOT WARS E,AGB-ARSP-EUR,Robot Wars - Extreme Destruction (E),遥控机器人大战之无尽的毁灭 Robot Wars – Extreme Destruction(EU)(M6)(BBC Worldwide)
ACE LIGHTNIN,AGB-ALXP-EUR,Ace Lightning (E),头号闪电 Ace Lightning(EU)(BBC Worldwide)
SSXTRICKY,AGB-AXYE-USA,SSX Tricky (U),疾风滑雪板 SSX Tricky(UE)(M3)(Electronic Arts)
AGB KIRBY DX,AGB-A7KJ-JPN,Hoshi no Kirby - Yume no Izumi Deluxe (J),星之卡比-梦之泉蒂拉克丝 Hoshi no Kirby – Yume no Izumi Deluxe(JP)(Nintendo)
TARZANRTJ,AGB-AJGE-USA,Disney's Tarzan - Return to the Jungle (U),泰山重返丛林 Tarzan – Return to the Jungle(US)(Activision)
WWE_RTWM_X8,AGB-AW8E-USA,WWE - Road to Wrestlemania X8 (U),WWE疯狂摔跤之路X8 WWE – Road to WrestleMania X8(UE)(THQ)
BIONICLE MAT,AGB-A5AE-USA,Lego Bionicle Matoran Adventures (U),乐高斗牛士冒险 Bionicle – Matoran Adventures(UE)(M8)(Electronic Arts)
DOOM II,AGB-A9DE-USA,Doom II (U),DOOM-毁灭战士2 Doom II(US)(Activision)
SPYRO 2,AGB-A2SP-EUR,Spyro 2 - Season of Flame (E),小龙斯派罗2-火焰的季节 Spyro 2 – Season of Flame(EU)(M5)(Vivendi)
BOM_JET.JPN,AGB-AJZJ-JPN,Bomberman Jetters (J),炸弹人杰特斯 Bomberman Jetters – Densetsu no Bomberman(JP)(Hudson)
NARIKIRI2,AGB-AN9J-JPN,Tales of the World - Narikiri Dungeon 2 (J),传说世界-换装迷宫2 Tales of the World – Narikiri Dungeon 2(JP)(Namco)
METROID4USA,AGB-AMTE-USA,Metroid - Fusion (U),银河战士1 Metroid Fusion(US)(Nintendo)
SANTA CLAUS,AGB-AXXP-EUR,Santa Claus Jr (E),圣诞老人 Santa Claus Jr. Advance(EU)(JoWood Productions)
SECRETAGENTB,AGB-AAHE-USA,Barbie Secret Agent (U),芭比秘密间谍 Secret Agent Barbie – Royal Jewels Mission(US)(Vivendi)
STUART LITTL,AGB-ASLF-FRA,Stuart Little 2 (F),一家之鼠2 Stuart Little 2(FR)(Activision)
MEGAMANBN2,AGB-AM2P-EUR,MegaMan Battle Network 2 (E),洛克人网络大战EXE 2 Megaman Battle Network 2(EU)(Ubi Soft)
NHL HITZ 20,AGB-AN4E-USA,NHL Hitz 20-03 (U),曲棍球2003 NHL Hitz 20-03(US)(Midway)
GEKIDO,AGB-AGEP-EUR,Gekido Advance - Kintaro's Revenge (E),究级截拳道 Gekido Advance – Kintaro's Revenge(EU)(M5)(Zoo Digital)
CARBATTLERJO,AGB-ACBE-USA,Car Battler Joe (U),激斗遥控车战士JOE Car Battler Joe(US)(Natsume)
DEADLYSKIES,AGB-AAKP-EUR,Deadly Skies (E),致命的天空 Deadly Skies(EU)(M4)(Konami)
BEASTSHOOTER,AGB-AH5J-JPN,Beast Shooter - Mezase Beast King (J),斗兽王! Beast Shooter – Mezase Beast King!(JP)(Konami)
SILK&COTTON ,AGB-A7IJ-JPN,Silk to Cotton (J),丝绸到棉花 Silk to Cotton(JP)(KiKi Co Ltd)
BP-BASEBALL,AGB-A8YJ-JPN,Best Play Pro Yakyuu (J),最佳职业棒球 Best Play Pro Yakyuu(JP)(Enterbrain)
TRAP2 MINAMI,AGB-AODJ-JPN,Minami no Umi no Odyssey (J),南之海的奥德赛 Minami no Umi no Odyssey(JP)(Global A)
MONSTERFARM2,AGB-A2QJ-JPN,Monster Farm Advance 2 (J),怪兽农场A 2 Monster Farm Advance 2(JP)(Tecmo)
DIGICOM,AGB-A3OJ-JPN,DiGi Charat DigiCommunication (J),便利商店 Di Gi Charat – DigiCommunication(JP)(Broccoli)
HE-MAN POWER,AGB-AGUE-USA,Masters of the Universe - He-Man - Power of Grayskull (U),宇宙人希曼-灰色头骨的力量 Masters of the Universe – He-Man Power of Grayskull(US)(TDK)
DDEOTB,AGB-AD4E-USA,Dungeons and Dragons - Eye of the Beholder (U),龙与地下城-魔眼杀机 Dungeons & Dragons – Eye of the Beholder(US)(Infogrames)
TONY HAWK 4!,AGB-AT6E-USA,Tony Hawk's Pro Skater 4 (U),托尼·霍克职业溜冰4 Tony Hawk's Pro Skater 4(UE)(Activision)
REIGN OF FIR,AGB-AR9E-USA,Reign Of Fire (U),火焰统治 Reign of Fire(US)(M5)(BAM!)
POCKY-ROCKY,AGB-APKE-USA,Pocky & Rocky with Becky (U),奇奇怪界 Pocky & Rocky with Becky(US)(Natsume)
PPG HIM N SE,AGB-AP5E-USA,The Powerpuff Girls - Him and Seek (U),"喷气女孩Him和Seek Powerpuff Girls, The – Him and Seek(US)(BAM!)"
DEXTER CHESS,AGB-ADXE-USA,Dexter's Lab - Chess Challenge (U),幸运的实验室-国际象棋挑战赛 Dexter's Laboratory – Chess Challenge(US)(BAM!)
DIS T PLANET,AGB-AZQE-USA,Disney's Treasure Planet (U),迪斯尼之金银岛 Treasure Planet(US)(Ubi Soft)
CRAZY CHASE,AGB-ACCE-USA,Crazy Chase (U),疯狂的追击 Crazy Chase(US)(Kemco)
GODZILLADOMI,AGB-AG4P-EUR,Godzilla Domination (E),怪物统治! Godzilla – Domination!(EU)(M5)(Infogrames)
UNIEUROLOTR,AGB-ALOP-EUR,The Lord of the Rings - The Fellowship of the Ring (E),"指环王-魔戒现身 Lord of the Rings, The – The Fellowship of the Ring(EU)(M5)(Vivendi)"
DAVIS CUP,AGB-AD6E-USA,Davis Cup (U),戴维斯杯网球公开赛 Davis Cup(US)(M5)(Ubi Soft)
TWO TOWERS,AGB-ALPE-USA,The Lord of the Rings - The Two Towers (U),"指环王-双塔 Lord of the Rings, The – The Two Towers(UE)(M6)(Electronic Arts)"
INJUSTICEFOR,AGB-AJLE-USA,Justice League - Injustice for All (U),超人正义联盟 Justice League – Injustice for All(US)(Midway)
WWTBAM,AGB-A55D-DEU,Wer Wird Millionar (G),谁想成为百万富翁 Wer wird Millionar(DE)(Zoo Digital)
FAIRLYODDPAR,AGB-AFVE-USA,The Fairly OddParents - Enter The Cleft (U),"正义双亲之过关斩将 Fairly Odd Parents!, The – Enter the Cleft(US)(THQ)"
HPOTTER COS,AGB-A7HE-USA,Harry Potter and the Chamber of Secrets (U),哈瑞·波特-消失的密室 Harry Potter and the Chamber of Secrets(UE)(M12)(Electronic Arts)
CONTRAADVANC,AGB-AAWE-USA,Contra Advance - The Alien Wars EX (U),魂斗罗-异型战争EX Contra Advance – The Alien Wars EX(US)(Konami)
FG2 THE LOST,AGB-AFBE-USA,Frogger's Adventure 2 - The Lost Wand (U),青蛙冒险2-失落的权杖 Frogger's Adventures 2 – The Lost Wand(US)(M2)(Konami)
PETSHOP3,AGB-A63J-JPN,Kawaii Pet Shop Monogatari 3 (J),卡哇伊宠物商店物语3 Kawaii Pet Shop Monogatari 3(JP)(Pacific Century)
SMUGGLERSRUN,AGB-ASGP-EUR,Smuggler's Run (E),逃跑走私犯车 Smuggler's Run(EU)(M5)(Zoo Digital)
PPG HIMNSEEK,AGB-AP5P-EUR,The Powerpuff Girls - Him and Seek (E),"喷气女孩Him和Seek Powerpuff Girls, The – Him and Seek(EU)(M4)(BAM!)"
AGASSI TENNI,AGB-ACEP-EUR,Agassi Tennis Generation 2002 (E),阿加西网球世代2002 Agassi Tennis Generation(EU)(M5)(Cryo)
ZIDANE FOOTB,AGB-AZDP-EUR,Zidane Football Generation 2002 (E),齐达内足球世代2002 Zidane Football Generation(EU)(M5)(Cryo)
DEFENDER,AGB-A2FE-USA,Defender (U),防御者 Defender(US)(Midway)
STAR WARS: T,AGB-A2WE-USA,Star Wars - The New Droid Army (U),星球大战-新帝国军队 Star Wars – The New Droid Army(US)(THQ)
DS_SOCCER_U,AGB-A6DE-USA,Disney Sports Soccer (U),迪斯尼全明星体育系列-足球 Disney Sports – Soccer(US)(Konami)
DANDOHXI,AGB-AXHJ-JPN,Dan Doh!! Xi (J),高尔夫球小子 Dan Doh!! Xi(JP)(NetVillage)
TOMB-RAIDER,AGB-AL9P-EUR,Lara Croft Tomb Raider - The Prophecy (E),古墓丽影-预言 Tomb Raider – The Prophecy(EU)(M5)(Ubi Soft)
THE MUMMY,AGB-AUMP-EUR,The Mummy (E),"神鬼传奇 Mummy, The(EU)(M5)(Ubi Soft)"
CONTRAADVANC,AGB-AAWJ-JPN,Contra Hard Spirits (J),魂斗罗-异型战争EX Contra Hard Spirits(JP)(Konami)
FIFA,AGB-AFJE-USA,FIFA 2003 (U),FIFA足球2003 FIFA(UE)(M6)(Electronic Arts)
DEBITIRUYAMI,AGB-AC5J-JPN,Shin Megami Tensei - Devil Children - Yami no Sho (J),真女神转生-暗之书 Shin Megami Tensei Devil Children – Yami no Sho(JP)(Atlus)
ONPI7TSUJIMA,AGB-AO7J-JPN,One Piece - Nanatsu Shima no Daihihou (J),海贼王-七个岛的大秘宝 From TV Animation One Piece – Nanatsu Shima no Daihihou(JP)(Banpresto)
PINK PANTHER,AGB-AP7P-EUR,The Pink Panther (E),粉红色的黑豹 Pink Panther – Pinkadelic Pursuit(EU)(M5)(Wanadoo)
REVENGEOFSHI,AGB-A3RE-USA,The Revenge of Shinobi (U),"忍者的复仇 Revenge of Shinobi, The(US)(THQ)"
ROCKY BOXING,AGB-AR8E-USA,Rocky (U),洛奇拳击 Rocky(US)(M5)(Ubi Soft)
CROKET!,AGB-A6CJ-JPN,Korokke Yume no Bunker Survival (J),口袋梦幻! Croket! – Yume no Banker Survival!(JP)(Konami)
HOT WHEELS V,AGB-AH8E-USA,Hot Wheels - Velocity X (U),无敌风火轮疾速赛车X Hot Wheels – Velocity X(US)(THQ)
MKASWEET16,AGB-AAYE-USA,Mary-Kate and Ashley - Sweet 16 (U),玛丽·凯特和艾希莉-甜蜜车16 Mary-Kate and Ashley Sweet 16 – Licensed to Drive(US)(Acclaim)
RR GO PARTY,AGB-AR5E-USA,Rugrats - I Gotta Go Party (U),小淘气-我要参加宴会 Rugrats – I Gotta Go Party(US)(THQ)
HAM-CLUB3,AGB-AJHJ-JPN,Hamster Gurakubu 3 (J),仓鼠物语3 Hamster Club 3(JP)(Jordan)
SRWOG,AGB-AOGJ-JPN,Super Robot Taisen Original Generation (J),超级机器人大战OG Super Robot Taisen – Original Generation(JP)(Banpresto)
MONSTERRANC2,AGB-A2QE-USA,Monster Rancher Advance 2 (U),怪兽农场A 2 Monster Rancher Advance 2(US)(Tecmo)
ISLAND XTREM,AGB-AXTE-USA,Island Xtreme Stunts (U),乐高积木岛极限特技赛车 LEGO Island Xtreme Stunts(UE)(M8)(Electronic Arts)
GALIDOR,AGB-AG8E-USA,Galidor - Defenders of the Outer Dimension (U),异次元防卫者 Galidor – Defenders of the Outer Dimension(UE)(M9)(Electronic Arts)
RCKTPWRBCHBN,AGB-AR4E-USA,Rocket Power - Beach Bandits (U),急速动力-沙滩强盗 Rocket Power – Beach Bandits(US)(THQ)
THORNBERRYS,AGB-AWLE-USA,The Wild Thornberrys - The Movie (U),"狂野丛林-电影 Wild Thornberrys Movie, The(US)(THQ)"
MKALLIANCE,AGB-AXDE-USA,Mortal Kombat - Deadly Alliance (U),真人快打-致命联盟 Mortal Kombat – Deadly Alliance(UE)(M5)(Midway)
SHREK HATC,AGB-AH4P-EUR,Shrek Hassle at the Castle (E),怪物史瑞克在城堡的激战 Shrek – Hassle at the Castle(EU)(M6)(TDK)
METROID4EUR,AGB-AMTP-EUR,Metroid - Fusion (E),银河战士1 Metroid Fusion(EU)(M5)(Nintendo)
DEBITIRUHIKA,AGB-AL4J-JPN,Shin Megami Tensei - Devil Children - Hikari no Sho (J),真女神转生-光之书 Shin Megami Tensei Devil Children – Hikari no Sho(JP)(Atlus)
POKEMON SAPP,AGB-AXPJ-JPN,Pokemon Sapphire (J),口袋妖怪蓝宝石 Pocket Monsters – Sapphire(JP)(Nintendo)
DUNGEONS AND,AGB-AD4P-EUR,Dungeons and Dragons - Eye of the Beholder (E),龙与地下城-魔眼杀机 Dungeons & Dragons – Eye of the Beholder(EU)(M5)(Infogrames)
NAPOLEON F,AGB-ANPF-FRA,Napoleon - L'Aigle de Guerre (F),"拿破仑 Aigle de Guerre, L'(FR)(Nintendo)"
POKEMON RUBY,AGB-AXVJ-JPN,Pokemon Ruby (J),口袋妖怪红宝石 Pocket Monsters – Ruby(JP)(Nintendo)
CAKE STORY,AGB-AAXJ-JPN,Fantasic Marchen Keekiyasan Monogatari and Doubutsu CharaNavi Uranai Koseishinrigaku (J),蛋糕屋物语-动物心理学占卜 Fantastic Maerchen – Cake-yasan Monogatari(JP)(Culture Brain)
SCAN HUNTER,AGB-A57J-JPN,Scan Hunter (J),扫描猎人-追击千年怪鱼! Scan Hunter – Sennen Kaigyo wo Oe!(JP)(Pacific Century)
MONKEYBALLJR,AGB-ALUE-USA,Super Monkey Ball Jr (U),超级猴子球 Super Monkey Ball Jr.(US)(THQ)
EGGOMANIA,AGB-AEMJ-JPN,EggMania Tsukande! Mawashite! Dossun Puzzle (J),战斗蛋方块 Egg Mania(JP)(Kemco)
MOTOGP,AGB-AM4J-JPN,Moto GP (J),GP摩托车赛 Moto GP(JP)(MTO)
AGB-P-A8CJ,AGB-A8CJ-JPN,Card Party (J),卡片宴会 Card Party(JP)(Mediakite)
SILENT SCOPE,AGB-AIPJ-JPN,Silent Scope (J),沉默的狙击手 Silent Scope(JP)(Konami)
EARTHWORM JI,AGB-AJ4P-EUR,Earthworm Jim 2 (E),蚯蚓吉姆2 Earthworm Jim 2(EU)(M5)(Vivendi)
DISNEY TARZA,AGB-AJGF-FRA,Disney's Tarzan - L'appel de la Jungle (F),泰山重返丛林 Tarzan – L'Appel de la Jungle(FR)(Activision)
PHANTASYSTAR,AGB-AYCE-USA,Phantasy Star Collection (U),梦幻之星123代合集 Phantasy Star Collection(US)(THQ)
GAUNTLET_DL,AGB-AYGE-USA,Gauntlet - Dark Legacy (U),黑暗的遗产 Gauntlet – Dark Legacy(US)(Midway)
KIM POSSIBLE,AGB-AEYE-USA,Disney's Kim Possible - Revenge of Monkey (U),迪斯尼之麻辣女孩1 Kim Possible – Revenge of Monkey Fist(US)(Ubi Soft)
MINORITY REP,AGB-ARME-USA,Minority Report (U),少数派报告 Minority Report – Everybody Runs(UE)(Activision)
ALTEREDBEAST,AGB-AARE-USA,Altered Beast - Guardian of the Realms (U),兽王记-王国的守护者 Altered Beast – Guardian of the Realms(US)(THQ)
AGB KIRBY DX,AGB-A7KE-USA,Kirby - Nightmare in Dreamland (U),星之卡比-可怕的梦境 Kirby – Nightmare in Dream Land(US)(Nintendo)
GBAZELDA,AGB-AZLE-USA,The Legend Of Zelda - A Link To The Past (U),"塞尔达传说-时空隧道 Legend of Zelda, The – A Link to the Past & Four Swords(US)(Nintendo)"
DIS T PLANET,AGB-AZQP-EUR,Disney's Treasure Planet (E),迪斯尼之星银岛 Treasure Planet(EU)(M6)(Ubi Soft)
STREET FIGHT,AGB-AZUP-EUR,Street Fighter Alpha 3 (E),少年街霸A 3 Street Fighter Alpha 3 Upper(EU)(Ubi Soft)
TITEUF ZE GA,AGB-AT7F-FRA,Titeuf - Ze Gagmachine (F),坏小子 Titeuf – Ze Gagmachine(FR)(Infogrames)
LEGENDS OF W,AGB-A2LE-USA,Legends of Wrestling 2 (U),摔跤传说2 Legends of Wrestling II(UE)(Acclaim)
CQADVANCE2,AGB-AQ2J-JPN,Choro Q Advance 2 (J),迷你Q版赛车2代变速齿轮之公路旅行 Choro Q Advance 2(JP)(Takara)
