Internalname,Serial,EngGamename,ChiGamename
ANIMAL SNAP ,AGB-AAQE-USA,Animal Snap - Rescue Them 2 By 2 (U),动物方块-拯救它们 Animal Snap – Rescue Them 2 By 2(US)(Asmik)
DAVID BECKHA,AGB-ABQE-USA,David Beckham Soccer (U),大卫·贝克汉姆足球 David Beckham Soccer(US)(M2)(Majesco Sales)
ANTZ RACING,AGB-ANUE-USA,Antz Extreme Racing (U),小蚁雄兵 极限赛车 Antz – Extreme Racing(US)(LSP)
CT SPECIAL F,AGB-BC3P-EUR,CT Special Forces 3 - Bioterror (E),CT 特种部队3 CT Special Forces 3 – Bioterror(EU)(M6)(LSP)
DEMON DRIVER,AGB-A9AE-USA,Demon Driver - Time to Burn Rubber! (U),魔鬼驾驶员-时间燃烧车! Demon Driver – Time to Burn Rubber!(US)(Asmik)
MIMPOSSIBLE,AGB-AIHE-USA,Mission Impossible - Operation Surma (U),不可能完成的任务 Mission Impossible – Operation Surma(US)(M3)(Atari)
DISNEY HOTR,AGB-BHME-USA,Disney's Home on the Range (U),牧场是我家 Home on the Range(US)(M2)(Ubi Soft)
SOUND OF THU,AGB-A3QP-EUR,A Sound of Thunder (E),"雷霆之音 Sound of Thunder, A(EU)(M5)(BAM!)"
ICE NINE,AGB-AR3E-USA,Ice Nine (E),冰冻九号 Ice Nine(UE)(M5)(BAM!)
SCOOBY DOO 2,AGB-BMUX-EUU,Scooby-Doo 2 - Monster Unleashed (E),史酷比2-脱缰的怪物 Scooby-Doo 2 – Monsters Unleashed(EU)(M5)(THQ)
ZEROMISSIONP,AGB-BMXP-EUR,Metroid - Zero Mission (E),银河战士2-零点任务 Metroid – Zero Mission(EU)(M5)(Nintendo)
NA-SU,AGB-BPNJ-JPN,Pikapika Nurse Monogatari (J),亮丽护士物语-活泼护士养成游戏 Pikapika Nurse Monogatari – Nurse Ikusei Game(JP)(TDK)
AGB KIRBY AM,AGB-B8KJ-JPN,Hoshi no Kirby - Kagami no Daimeikyuu (J),星之卡比-镜之谜宫 Hoshi no Kirby – Kagami no Daimeikyuu(JP)(Nintendo)
FIGHTBOX,AGB-BOXP-EUR,FightBox (E),格斗大会 FightBox(EU)(BBC Worldwide)
BOOKWORM,AGB-BKWE-USA,BookWorm (U),书虫 Book Worm(US)(Majesco Sales)
ROCKMANZERO3,AGB-BZ3J-JPN,Rockman Zero 3 (J),洛克人ZERO3 Rockman Zero 3(JP)(Capcom)
MARIOGOLFGBA,AGB-BMGJ-JPN,Mario Golf - Advance Tour (J),马里奥高尔夫巡回赛 Mario Golf – GBA Tour(JP)(Nintendo)
ROADTRIPSHIF,AGB-A6RE-USA,Shifting Gears - Road Trip (U),迷你Q版赛车2代变速齿轮之公路旅行 Shifting Gears Road Trip(US)(Conspiracy)
SHININGSOUL2,AGB-AU2E-USA,Shining Soul II (U),光明之魂2 Shining Soul II(US)(Atlus)
SAKURA001MTO,AGB-BKSJ-JPN,Card Captor - Sakura Card Friends (J),库洛魔法使-卡片朋友 Cardcaptor Sakura – Card Friends(JP)(MTO)
